Far field
"Theta"[deg]	"Real [V]"	"Imaginary [V]"	
2.00000000E+00	-1.32990971E-02	1.06120267E-02	
6.00000000E+00	-3.98975908E-02	3.18403188E-02	
1.00000000E+01	-6.64945180E-02	5.30791950E-02	
1.40000000E+01	-9.30806923E-02	7.43286706E-02	
1.80000000E+01	-1.19634982E-01	9.55784264E-02	
2.20000000E+01	-1.46120075E-01	1.16804134E-01	
2.60000000E+01	-1.72478787E-01	1.37964249E-01	
3.00000000E+01	-1.98631100E-01	1.58997415E-01	
3.40000000E+01	-2.24472071E-01	1.79820624E-01	
3.80000000E+01	-2.49870789E-01	2.00328267E-01	
4.20000000E+01	-2.74670506E-01	2.20392192E-01	
4.60000000E+01	-2.98690056E-01	2.39862873E-01	
5.00000000E+01	-3.21726609E-01	2.58571732E-01	
5.40000000E+01	-3.43559771E-01	2.76334618E-01	
5.80000000E+01	-3.63956943E-01	2.92956382E-01	
6.20000000E+01	-3.82679784E-01	3.08236417E-01	
6.60000000E+01	-3.99491557E-01	3.21974948E-01	
7.00000000E+01	-4.14165012E-01	3.33979819E-01	
7.40000000E+01	-4.26490466E-01	3.44073441E-01	
7.80000000E+01	-4.36283636E-01	3.52099539E-01	
8.20000000E+01	-4.43392806E-01	3.57929333E-01	
8.60000000E+01	-4.47704910E-01	3.61466781E-01	
9.00000000E+01	-4.49150169E-01	3.62652588E-01	
9.40000000E+01	-4.47704992E-01	3.61466703E-01	
9.80000000E+01	-4.43392969E-01	3.57929178E-01	
1.02000000E+02	-4.36283875E-01	3.52099312E-01	
1.06000000E+02	-4.26490776E-01	3.44073147E-01	
1.10000000E+02	-4.14165385E-01	3.33979465E-01	
1.14000000E+02	-3.99491983E-01	3.21974542E-01	
1.18000000E+02	-3.82680255E-01	3.08235969E-01	
1.22000000E+02	-3.63957446E-01	2.92955903E-01	
1.26000000E+02	-3.43560297E-01	2.76334117E-01	
1.30000000E+02	-3.21727145E-01	2.58571220E-01	
1.34000000E+02	-2.98690592E-01	2.39862361E-01	
1.38000000E+02	-2.74671032E-01	2.20391690E-01	
1.42000000E+02	-2.49871295E-01	2.00327784E-01	
1.46000000E+02	-2.24472547E-01	1.79820168E-01	
1.50000000E+02	-1.98631539E-01	1.58996994E-01	
1.54000000E+02	-1.72479181E-01	1.37963870E-01	
1.58000000E+02	-1.46120418E-01	1.16803804E-01	
1.62000000E+02	-1.19635270E-01	9.55781498E-02	
1.66000000E+02	-9.30809204E-02	7.43284513E-02	
1.70000000E+02	-6.64946831E-02	5.30790362E-02	
1.74000000E+02	-3.98976907E-02	3.18402226E-02	
1.78000000E+02	-1.32991305E-02	1.06119945E-02	
